product_title,product_image,product_category
12 INCH BLACKFOREST CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-BLACKFOREST-CAKE-500x500.jpg,CAKES
12 INCH CHOCOLATE CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-CHOCOLATE-CAKE-500x393.jpg,CAKES
12 INCH GANACHE CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-GANACHE-CAKE-500x500.jpg,CAKES
12 INCH STRAWBERRY CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-STRAWBERRY-CAKE.jpg,CAKES
12 INCH VANILLA CAKE,https://www.okonline.co.zw/wp-content/uploads/12-INCH-VANILLA-CAKE.jpg,CAKES
12INCH RED VELVET CAKE,https://www.okonline.co.zw/wp-content/uploads/12INCH-RED-VELVET-CAKE-1-500x500.jpg,CAKES
7 UP CAN 330ML,https://www.okonline.co.zw/wp-content/uploads/9000050485-19.jpg,SOFT DRINKS
Absorbers,https://www.okonline.co.zw/wp-content/uploads/Absorbers-logo-and-packshot-1.jpg,PERSONAL CARE
Aqua Clear  Water 1LX12,https://www.okonline.co.zw/wp-content/uploads/Aqua-750ml-1.jpg,WATER
Aqua clear water 750mlX15,https://www.okonline.co.zw/wp-content/uploads/Aqua-750ml.jpg,WATER
Aqua Lite Water 500mlX12,https://www.okonline.co.zw/wp-content/uploads/aquaclear-mineral-water-500mlx24.jpg,WATER
Aqua-clear Water 500mlX24,https://www.okonline.co.zw/wp-content/uploads/aquaclear-water-500mlx24-500x500.jpg,WATER
AQUACLEAR BOTTLED WATER 500ML,https://www.okonline.co.zw/wp-content/uploads/AQUACLEAR-500ML.jpg,WATER
BABA JOHN’S CHICKEN MIXED PORTIONS 2KG,https://www.okonline.co.zw/wp-content/uploads/Baba-Johns-Chicken-2kg.png,GROCERY
Bake’n Take Standard White Bread(Available in Harare Only),https://www.okonline.co.zw/wp-content/uploads/Bake-n-Take-Loaf.png,GROCERY
BAKER’S INN PREMIUM BREAD,https://www.okonline.co.zw/wp-content/uploads/bakers-inn-bread.png,GROCERY
Bokomo Cornflakes 500g,https://www.okonline.co.zw/wp-content/uploads/bokomo-cornflakes-500g.jpg,CEREALS
Charhons Loose Biscuits 500GX10,https://www.okonline.co.zw/wp-content/uploads/Quality-Biscuits-2-500x500.png,GROCERY
COOKMORE  COOKING OIL 2L,https://www.okonline.co.zw/wp-content/uploads/medium16340852195t0xT13412-1.png,COOKING OIL
COOKMORE  COOKING OIL 2LX8,https://www.okonline.co.zw/wp-content/uploads/medium16340852195t0xT13412.png,COOKING OIL
D’LITE COOKING OIL 2LX12,https://www.okonline.co.zw/wp-content/uploads/DLite.jpg,GROCERY
DELITE COOKING OIL 2L,https://www.okonline.co.zw/wp-content/uploads/DELITE-2L.jpg,COOKING OIL
