,product_title,product_image,product_category,Images_Cluster
61,Farmers & Harvest Coconut Milk 400g,https://www.okonline.co.zw/wp-content/uploads/farmers-harvest-coconut-milk-400ml.jpg,MILK POWDER,1
62,FOUR SEASONS ZUMBANI TEA 100G,https://www.okonline.co.zw/wp-content/uploads/zumbani-tea-500x500.jpg,TEA,3
63,FRESH LEAVES TEA 250GX1,https://www.okonline.co.zw/wp-content/uploads/9000067842-10.jpg,TEA,3
64,NATRA FRESH ROOIBOS BAGS BOX 80’S,https://www.okonline.co.zw/wp-content/uploads/9000057466-11.jpg,TEA,3
65,Nescafe Expresso 100g,https://www.okonline.co.zw/wp-content/uploads/nescaff-expresso-100g.jpg,GROCERY,3
66,NESCAFE RICOFF 750g,https://www.okonline.co.zw/wp-content/uploads/NESCAFE-RICOFF-750g.jpg,GROCERY,3
67,NESCAFE RICOFFY 100g,https://www.okonline.co.zw/wp-content/uploads/100g-432x500.jpg,GROCERY,3
68,NESCAFE RICOFFY 250g,https://www.okonline.co.zw/wp-content/uploads/NESCAFE-RICOFFY.jpg,GROCERY,3
69,NESTLE CREMORA BOX 1KG,https://www.okonline.co.zw/wp-content/uploads/9000041772-11.jpg,MILK POWDER,1
70,NESTLE EVERYDAY SWEETENED MILK POWDER 400G,https://www.okonline.co.zw/wp-content/uploads/Netsle-EveryDay-Sweetened-Milk-Powder-400g.jpg,MILK POWDER,1
71,NESTLE NESQUIK 500G,https://www.okonline.co.zw/wp-content/uploads/NESTLE-NESQUIK-500G-500x500.jpg,GROCERY,1
72,PROBRANDS MILK POWDER 400G,https://www.okonline.co.zw/wp-content/uploads/9000065452-10.jpg,MILK POWDER,1
73,Ricoffy 250g,https://www.okonline.co.zw/wp-content/uploads/RICOFFY.jpg,GROCERY,3
74,SILVER TEA 500GX1,https://www.okonline.co.zw/wp-content/uploads/9000050433-12.jpg,TEA,3
75,DAIRIBORD CHIMOMBE UHT MILK 1L,https://www.okonline.co.zw/wp-content/uploads/Chimombe-1L.jpg,LIQUID MILK,1
76,DAIRIBORD LACTO 500ML,https://www.okonline.co.zw/wp-content/uploads/Dairibord-Lacto.jpg,LIQUID MILK,3
77,DENDAIRY UHT MILK 1L,https://www.okonline.co.zw/wp-content/uploads/Dendairy-UHT-1LT-300x300.jpeg,LIQUID MILK,1
78,DZL STERILISED MILK 500MLX12,https://www.okonline.co.zw/wp-content/uploads/DZL-Steri-Milk.png,LIQUID MILK,1
79,PROBRANDS MASI 500ML,https://www.okonline.co.zw/wp-content/uploads/Probrands-Masi.jpg,LIQUID MILK,3
80,SHOPPERSCHOICE UHT MILK 1L,https://www.okonline.co.zw/wp-content/uploads/Shopperschoice-1L.png,LIQUID MILK,1
81,STERILISED MILK 500ML,https://www.okonline.co.zw/wp-content/uploads/Dairibord-Steri-Milk-Probrands-W-500x408.jpg,LIQUID MILK,1
82,Absorbers,https://www.okonline.co.zw/wp-content/uploads/Absorbers-logo-and-packshot-1.jpg,PERSONAL CARE,3
83,ACTIVE CARE ADULT DIAPERS 10’S,https://www.okonline.co.zw/wp-content/uploads/Adult-care-500x500.webp,PERSONAL CARE,3
84,AQUAFRESH TOOTH PASTE 100ML,https://www.okonline.co.zw/wp-content/uploads/aquafresh.jpg,PERSONAL CARE,3
85,BIO OIL  125ML,https://www.okonline.co.zw/wp-content/uploads/125ml-Bio-Oil-500x500.jpg,SKIN CARE,2
86,BIO OIL 200ML,https://www.okonline.co.zw/wp-content/uploads/BIO-OIL-200ML-500x500.jpg,SKIN CARE,2
87,BIO OIL TISSUE OIL 60ML,https://www.okonline.co.zw/wp-content/uploads/9000051197-19.jpg,SKIN CARE,2
88,CLERE BODY CREAM 300ML (ASSORTED),https://www.okonline.co.zw/wp-content/uploads/9000048052-19.jpg,SKIN CARE,3
89,COLGATE    TOTAL  75mls,https://www.okonline.co.zw/wp-content/uploads/Colgate-total-75ml.jpg,PERSONAL CARE,3
90,COLGATE DENTAL CREAM ORIGINAL 100ML,https://www.okonline.co.zw/wp-content/uploads/9000041135-20.jpg,PERSONAL CARE,3
91,COLGATE DENTAL CREAM ORIGINAL 50ML,https://www.okonline.co.zw/wp-content/uploads/colgate-dental.jpg,PERSONAL CARE,3
92,Colgate Double Action Toothbrush,https://www.okonline.co.zw/wp-content/uploads/9000041306-20.jpg,PERSONAL CARE,3
93,Colgate Herbal Toothpaste 100ml,https://www.okonline.co.zw/wp-content/uploads/Colgate-Herbal-Toothpaste-100ml.jpg,PERSONAL CARE,3
94,Colgate Herbal Toothpaste 50ml,https://www.okonline.co.zw/wp-content/uploads/Colgate-dental-cream-50ml-500x500.png,PERSONAL CARE,3
95,Colgate Optic White Toothpaste 75ml,https://www.okonline.co.zw/wp-content/uploads/Colgate-toothpaste-Optic-75ml-500x500.jpg,PERSONAL CARE,3
96,COLGATE TOOTHPASTE TRIPLE ACTION 50ml,https://www.okonline.co.zw/wp-content/uploads/9000041157-20.jpg,PERSONAL CARE,3
97,Cuddler Comfort Nappies 50’s,https://www.okonline.co.zw/wp-content/uploads/cuddlers-500x500.png,PERSONAL CARE,3
